Section_Name,Goes_In_Column,Description,HTML_Class,Key_Data_Points
Business description,Left,1-2 sentences about what company does + revenue model,body-text,"Company name, sector, founding year, locations, key differentiator"
Investment thesis,Left,3 bullets: competitive moat + current story + forward opportunity,thesis box with green border,"Thesis 1: Why defensible, Thesis 2: Why now (recent event/metric), Thesis 3: Why ahead (catalysts)"
Key stats bar,Left,6 headline numbers with YoY change (Revenue EBITDA PAT H1 coverage gearing),stats flex with .st cards,"Each stat: value in 13px bold, label in 8.5px, YoY/direction in green/red"
Financial performance chart,Left,Grouped bar chart FY22-FY25 (Revenue EBITDA PAT) with table beside,canvas #finChart + table,"Years, revenue values, EBITDA, PAT with margin %; FY25 highlighted"
Margin trend & key metrics,Left,Line chart EBITDA margin % and PAT margin % FY22-FY25 + metrics table,canvas #marginChart + table,"EBITDA line green, PAT line orange, table with interest cover/gearing/TD GCA/op cycle"
Revenue by geography,Left,Donut chart pie split (N.America Europe Asia India) + export %,canvas donut + legend,"Percentages by region, total export % highlighted"
Revenue by product segment,Left,Donut chart product mix (if pharma: ephedrine/lisdexamfetamine/chiral/specialty),canvas donut + legend,"Product names, percentages, which are high-margin (green)"
Shareholders & promoters,Left,"Donut chart (promoter % vs institutional %), table with promoter names + historical trend",shareholding section with donut + tables,"Current split, individual names, FY history showing transition from 100% to new ratio"
Products & services,Left,Bullet list organized by category (core APIs / chiral / specialty),two-column layout with bullets,"Product names, key use cases, regulatory status (pills)"
Manufacturing & facilities,Left,Text + bullet list (Mahad capacity + fermenters + Dahej capex + funding),two-column with bullets + pills,"Location, MTPA capacity, fermenter count/sizes, regulatory approvals with green pills"
Regulatory inspection history,Left,Table (Facility / Regulator / Status / Warning Letter / Import Alert),table with tr.hl highlight,"Mahad row highlighted, all-green checkmarks for clean facilities"
API-specific or sector module,Left,Table (Parameter / Status / Strategic Significance) with sector-specific metrics,table sm text,"DMF filings, NDPS licenses, backward integration, biotech platforms etc."
R&D and innovation,Left,Bullet list (R&D spend %, recent launches, pipeline signals, partnerships),two-column with bullets,"New product names, pipeline programs, government grants, trade show participation"
Working capital analysis,Left,Bar chart operating cycle trend (FY22-FY25) with CARE trigger line + metrics table,canvas #wcChart + table,"Days on Y-axis, CARE 80-day trigger shown as orange dashed line, metrics: debtor/inventory days"
Channel mix & distribution,Left,"Text + bullet list (B2B vs B2C, customer concentration top 5 %, sales model)",two-column with bullets,"Distribution channel, customer stickiness factors, top customer names where possible"
SWOT,Left,2x2 grid (Strengths green / Weaknesses red / Opportunities blue / Threats amber),swot grid .sw.s/.w/.o/.t,"Each quadrant: 4 bullets, data-backed (no fluff)"
Market size,Left,Table (Market / Region / Size / CAGR),table,"TAM in $ or ₹, growth rate, 5-6 relevant markets per company"
Recent news,Left,Timeline of 5 most recent news items (date headline source),ni items in .news-item divs,"Date in 8.5px, headline in bold, source in gray 8.5px"
Details,Right,Vertical list (founded date HQ CIN plant locations type employees website),dr detail rows,"Labels in #5A6878, values in #1A2332, use pills for status tags (unlisted PE-backed)"
Ownership,Right,Simple list (type promoter% institutional% pledge% paid-up auth capital),dr rows with pills,"Show structure: promoter vs institutional, pledge 0% is green pill"
Deals & transactions,Right,Timeline of funding/M&A (date description amount),deal rows with .dd labels,"Most recent first, use pill tags for transaction type (funding/acquisition)"
Leadership,Right,3-5 key execs (name title one-line background),mgmt boxes with .mn name and .mb bio,"Names, titles, 15-20 word bio max"
Board members,Right,Simple list of 5-7 board members (name role),bullet list,"Names and roles only, no backgrounds needed"
Credit ratings,Right,Rating boxes + 4-year history table (date rating outlook),rbox + table,"Current rating prominent (14px bold), small history table below"
Compliance & ESG,Right,Checklist with green/amber/red flags (litigation RPT auditor contingent liabilities ESG),fl flag rows,"Each row: icon + brief text, use .fig/.fia/.fir classes for colors"
Risk flags,Right,7 items with red/amber/green severity icons and one-line descriptions,fl flag rows,"Icons left, title bold, detail in smaller text"
Key catalysts,Right,5-6 upcoming events with dates (FY26 Sep 2026 FY27 etc),cat rows with .cd dates,"Specific dates, one-line event description, green .cd labels"
Awards & certifications,Right,Bullet list (regulatory approvals BIRAC recognition IDMA etc),bullet list,"Names and brief context only"
Key milestones,Right,Timeline 7-8 items (date event),ms rows with .md dates,"Most recent first (Jun 2026 at top), going back to founding year"
Future plan,Right,6-7 quantified targets with timelines,bullet list,"Target metrics (e.g. revenue ₹300 Cr by FY26), specific not vague"
Peers comparison,Right,Table with 5-6 comparable companies (name revenue margin focus),table with tr.hl highlight,"Embio/target company in bottom row highlighted green, 3-4 columns max"
Global presence,Right,Simple list (India HQ N.America Europe Asia RoW with %),dr rows,"Locations, revenue % by region, key regulatory approvals by market"
Not applicable,Right,Gray note section listing sections NOT relevant for this company type,na-box with gray bg,"e.g. 'Unlisted: FII/DII, Shareholding trend, Valuation multiples'"
